1079,1259;1079;2
1289,1294;1289;2
1037,1042,1073,1078,1253,1258;209;2
1036,1072,1252,1288;179;2
1036,1037,1042,1043,1072,1073,1078,1079,1252,1253,1258,1259,1288,1289,1294,1295;28;3
536,644,778,1184,1292;86;2
1110,1260;1110;2
864,1080;864;2
536,644,778,864,1080,1110,1184,1260,1290,1292;0;3
790,850,862,994,1210,1222,1267,1282,1291;1007;2
538,646,1074,1186;88;2
968,1076,1114,1264;35;2
894,1044;894;2
868,1084;868;2
538,646,790,850,862,868,894,968,994,1044,1074,1076,1084,1114,1186,1210,1222,1264,1267,1282,1291;2;3
970,1006,1051,1066,1075,1270;323;2
898,1048;898;2
898,970,1006,1048,1051,1066,1075,1270;0;3
530,539,647,1187;74;2
791,863,1223,1265;141;2
779,851,1115,1211,1283;129;2
530,539,647,779,791,851,863,1085,1115,1187,1211,1223,1265,1283;18;3
784,814,1000,1030;21;2
403,427,532,962,964,1012;586;2
608,638,1008,1178,1254,1256,1284,1286;500;2
892,995,1007,1067,1271;71;2
888,971,1049;0;2
403,427,532,608,638,784,814,869,888,892,899,962,964,971,995,1000,1007,1008,1012,1030,1049,1067,1104,1178,1224,1254,1256,1271,1284,1286;17;3
1015,1040,1055,1070,1231,1255,1285;179;2
1038,1068;1038;2
406,430,610,640,1018,1180;462;2
826,856,1216,1228;204;2
1108,1246;1108;2
406,430,610,640,826,856,1015,1018,1038,1040,1055,1068,1070,1108,1180,1216,1228,1231,1246,1255,1285;22;3
1039,1069,1234;25;2
407,431;407;2
367,533,602,611,641,1034,1181;467;2
785,827,857,1032,1217,1229;209;2
815,820,1109,1247;35;2
367,407,431,533,602,604,611,641,785,815,820,827,857,1032,1034,1109,1181,1217,1229,1247;22;3
965,1001,1031,1250;23;2
370,1235,1248;4;2
391,421,893,1013,1033;28;2
370,391,421,893,965,1001,1013,1031,1033,1235,1248,1250;1;3
394,424,1019,1249;244;2
605,821;605;2
371,388,395,425;35;2
371,385,388,395,425,605,821;1;3
